Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
TOI-2421 b,327.927,5607.0,9.667
TOI-6034 b,117.992,3635.0,11.016
TOI-3976 A b,516.087,5975.0,11.048
K2-3 d,44.0727,3844.0,8.561
TOI-2580 b,379.253,6120.0,9.877
K2-216 b,115.461,4503.0,9.721
HATS-48 A b,263.609,4546.0,11.427
TOI-1899 b,128.438,3926.0,10.509
HD 260655 c,10.0055,3803.0,5.862
NGTS-27 b,942.122,5700.0,11.859
TOI-3688 A b,396.378,5950.0,10.732
HATS-74 A b,299.389,3776.9,12.361
TOI-2015 b,47.3444,3194.0,10.263
TOI-2583 A b,566.189,5936.0,11.245
HATS-47 b,300.67,4512.0,11.926
TOI-561 b,85.799,5372.0,8.394
HD 191939 c,53.6089,5348.0,7.18
GJ 3473 b,27.3644,3347.0,8.829001
LTT 3780 c,21.9814,3358.0,8.204001
NGTS-12 b,446.442,5690.0,10.588
TOI-2570 b,361.857,5771.0,10.905
TOI-2842 b,460.995,5910.0,11.062
TOI-2379 b,211.247,3707.0,11.477
NGTS-13 b,647.595,5819.0,11.141
TOI-2134 b,22.6202,4580.0,6.091
TOI-2136 b,33.3631,3342.0,9.343
TOI-5542 b,348.849,5700.0,10.897
TOI-5634 A b,306.144,3896.0,12.913
TOI-674 b,46.0851,3514.0,9.469
TOI-6651 b,212.128,5940.0,8.684
WASP-18 b,123.483,6432.0,8.131
WASP-132 b,122.91,4686.0,9.674
TOI-905 b,158.649,5570.0,9.448
WASP-193 b,362.087,6078.0,10.745
TOI-908 b,175.748,5626.0,9.637
TOI-858 B b,250.489,5842.0,9.722
TOI-815 b,59.7117,4869.0,7.999
TOI-782 b,52.5122,3370.0,9.86
TOI-815 c,59.7117,4869.0,7.999
WASP-19 b,268.325,5616.0,10.481
XO-7 b,234.149,6250.0,9.241
WASP-174 b,410.149,6399.0,10.579
WASP-166 b,114.173,6050.0,8.032
Wolf 327 b,28.5321,3542.0,8.435
TOI-836 b,27.5024,4552.0,6.804
TOI-836 c,27.5024,4552.0,6.804
WASP-77 A b,105.166,5617.0,8.405
TOI-733 b,75.2092,5585.0,7.845
TOI-954 b,238.768,5710.0,8.779
WASP-153 b,610.176,5914.0,11.051
WASP-132 c,122.91,4686.0,9.674
HD 110067 g,32.1585,5266.0,6.492
Kepler-80 b,369.451,4540.0,12.253
CoRoT-31 b,2005.76,5700.0,13.426
