Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
314.6517,1571,13.54,Gas Giant,0.0,"[314.6517,1571.0,13.54]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
896.24,1776,16.25,Gas Giant,0.0,"[896.24,1776.0,16.25]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
207.54299,1212,14.022,Gas Giant,0.0,"[207.54299,1212.0,14.022]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
8.03,1275,2.357,Rocky Planet,1.0,"[8.03,1275.0,2.357]","[0.0,10.0]","[0.0,1.0]",1.0
242.8209,1457,13.899,Gas Giant,0.0,"[242.8209,1457.0,13.899]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1379.37529,806,12.184,Gas Giant,0.0,"[1379.37529,806.0,12.184]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
4.77,873,1.669,Rocky Planet,1.0,"[4.77,873.0,1.669]","[0.0,10.0]","[0.0,1.0]",1.0
24.5,494,3.44,Gas Giant,0.0,"[24.5,494.0,3.44]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
6.9,913,1.73,Rocky Planet,1.0,"[6.9,913.0,1.73]","[0.0,10.0]","[0.0,1.0]",1.0
505.3497,2101,17.71,Gas Giant,0.0,"[505.3497,2101.0,17.71]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2542.64,2329,17.71,Gas Giant,0.0,"[2542.64,2329.0,17.71]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
9.2,785,1.19,Rocky Planet,1.0,"[9.2,785.0,1.19]","[0.0,10.0]","[0.0,1.0]",1.0
