Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
TOI-2000 c,0.0878,1038,Not Habitable
TOI-4127 b,0.3081,605,Not Habitable
HATS-38 b,0.05036,1294,Not Habitable
KELT-18 b,0.0455,2085,Not Habitable
TOI-1260 c,0.0657,651,Not Habitable
TOI-1728 b,0.0391,767,Not Habitable
TOI-2180 b,0.828,348,Not Habitable
HD 20329 b,0.018,2141,Not Habitable
HAT-P-62 b,0.03772,1512,Not Habitable
TOI-1064 c,0.09429,634,Not Habitable
HATS-62 b,0.04163,1237,Not Habitable
EPIC 249893012 d,0.22,752,Not Habitable
TOI-257 b,0.1528,1027,Not Habitable
TOI-3714 b,0.027,750,Not Habitable
TOI-4087 b,0.04469,1458,Not Habitable
EPIC 249893012 b,0.047,1616,Not Habitable
HD 110113 b,0.035,1371,Not Habitable
TOI-4994 b,0.1515,718,Not Habitable
TOI-132 b,0.026,1395,Not Habitable
GJ 3929 b,0.0252,568,Not Habitable
K2-100 b,0.0301,1841,Not Habitable
TOI-2842 b,0.0475,1471,Not Habitable
HATS-48 A b,0.03769,955,Not Habitable
Kepler-111 c,0.751,352,Not Habitable
TOI-5218 b,0.0469,783,Not Habitable
TOI-5688 A b,0.03379,742,Not Habitable
Kepler-138 c,0.0913,410,Not Habitable
TOI-125 d,0.137,638,Not Habitable
TOI-2120 b,0.0377,384,Not Habitable
TOI-815 c,0.193,469,Not Habitable
TOI-815 b,0.0903,686,Not Habitable
TOI-836 c,0.075,665,Not Habitable
WASP-166 b,0.0641,1270,Not Habitable
WASP-132 c,0.01833,1329,Not Habitable
TOI-908 b,0.041657,1317,Not Habitable
TOI-954 b,0.04963,1526,Not Habitable
TOI-674 b,0.025,635,Not Habitable
TOI-6651 b,0.0633,1493,Not Habitable
WASP-174 b,0.05503,1528,Not Habitable
TOI-905 b,0.04666,1192,Not Habitable
TOI-858 B b,0.04435,1529,Not Habitable
WASP-193 b,0.0676,1254,Not Habitable
WASP-77 A b,0.02335,1715,Not Habitable
TOI-836 b,0.0422,871,Not Habitable
XO-7 b,0.04421,1743,Not Habitable
WASP-153 b,0.048,1700,Not Habitable
WASP-19 b,0.01652,2113,Not Habitable
WASP-18 b,0.02024,2429,Not Habitable
TOI-782 b,0.0578,435,Not Habitable
TOI-733 b,0.0618,1056,Not Habitable
Wolf 327 b,0.01,996,Not Habitable
WASP-132 b,0.0674,682,Not Habitable
CoRoT-23 b,0.048,1660,Not Habitable
Kepler-52 b,0.11312557679914075,1102,Not Habitable
CoRoT-4 b,0.09,1074,Not Habitable
K2-233 c,0.06666,790,Not Habitable
KOI-1783.02,0.11312557679914075,1102,Not Habitable
Kepler-117 c,0.2804,704,Not Habitable
Kepler-19 b,0.0846,851,Not Habitable
Kepler-37 d,0.2109,499,Not Habitable
Kepler-49 c,0.11312557679914075,1102,Not Habitable
NGTS-21 b,0.0236,1357,Not Habitable
HATS-29 b,0.05475,1212,Not Habitable
HIP 29442 c,0.04518,1123,Not Habitable
Kepler-23 d,0.11312557679914075,1102,Not Habitable
CoRoT-13 b,0.051,1700,Not Habitable
CoRoT-5 b,0.04947,1438,Not Habitable
Kepler-103 c,0.6639,434,Not Habitable
Kepler-78 b,0.00901,2223,Not Habitable
TOI-1775 b,0.08,708,Not Habitable
TOI-6029 b,0.11312557679914075,1102,Not Habitable
K2-136 d,0.1538,420,Not Habitable
KELT-10 b,0.0525,1377,Not Habitable
Kepler-45 b,0.03,1000,Not Habitable
OGLE-TR-211 b,0.051,1102,Not Habitable
TIC 172900988 b,0.90281,1102,Not Habitable
HAT-P-51 b,0.05042,1168,Not Habitable
HD 63433 b,0.072,886,Not Habitable
Kepler-18 d,0.1172,1102,Not Habitable
TOI-1749 c,0.0443,673,Not Habitable
55 Cnc e,0.01544,1102,Not Habitable
HATS-71 b,0.03745,587,Not Habitable
Kepler-18 c,0.0752,1102,Not Habitable
Kepler-35 b,0.60347,1102,Not Habitable
CoRoT-19 b,0.0518,2000,Not Habitable
HAT-P-15 b,0.11312557679914075,1102,Not Habitable
Kepler-29 b,0.11312557679914075,1102,Not Habitable
GJ 3090 b,0.03165,693,Not Habitable
HAT-P-30 b,0.11312557679914075,1102,Not Habitable
HATS-24 b,0.0238,2166,Not Habitable
HD 152843 b,0.1053,1102,Not Habitable
HD 86226 c,0.049,1311,Not Habitable
TOI-1181 b,0.11312557679914075,1102,Not Habitable
TOI-1269 b,0.0496,1005,Not Habitable
TOI-2076 d,0.199,458,Not Habitable
CoRoT-1 b,0.11312557679914075,1898,Not Habitable
HAT-P-3 b,0.11312557679914075,1102,Not Habitable
K2-238 b,0.046,1587,Not Habitable
Kepler-107 d,0.08377,1173,Not Habitable
Kepler-23 c,0.11312557679914075,1102,Not Habitable
HAT-P-46 b,0.0577,1458,Not Habitable
HATS-46 b,0.05367,1054,Not Habitable
K2-146 c,0.11312557679914075,1102,Not Habitable
KELT-11 b,0.11312557679914075,1102,Not Habitable
Qatar-10 b,0.0286,1955,Not Habitable
GJ 806 b,0.01406,940,Not Habitable
NGTS-4 b,0.019,1650,Not Habitable
HAT-P-5 b,0.11312557679914075,1102,Not Habitable
Kepler-80 d,0.0372,1102,Not Habitable
LHS 1478 b,0.01848,595,Not Habitable
TIC 279401253 b,0.369,1102,Not Habitable
TOI-2202 b,0.09564,1102,Not Habitable
TOI-5720 b,0.018288,708,Not Habitable
CoRoT-29 b,0.0386,1102,Not Habitable
K2-415 b,0.027,412,Not Habitable
Kepler-31 c,0.26,1102,Not Habitable
TOI-481 b,0.097,1370,Not Habitable
HD 15337 c,0.1268,642,Not Habitable
K2-260 b,0.04392,2090,Not Habitable
K2-32 d,0.18422,550,Not Habitable
Kepler-423 b,0.03585,1605,Not Habitable
TOI-4515 b,0.118,705,Not Habitable
HIP 9618 b,0.145,641,Not Habitable
Kepler-16 b,0.7048,1102,Not Habitable
Qatar-3 b,0.03783,1681,Not Habitable
NGTS-23 b,0.0504,1327,Not Habitable
TOI-3235 b,0.02709,604,Not Habitable
HATS-30 b,0.04354,1414,Not Habitable
HATS-51 b,0.04639,1553,Not Habitable
HD 25463 b,0.076,1198,Not Habitable
HD 97658 b,0.11312557679914075,751,Not Habitable
TOI-1437 b,0.14,1102,Not Habitable
HAT-P-16 b,0.0413,1626,Not Habitable
TOI-1742 b,0.154,694,Not Habitable
TOI-1824 b,0.151,529,Not Habitable
TOI-2154 b,0.0513,1580,Not Habitable
TOI-6255 b,0.11312557679914075,1102,Not Habitable
K2-266 b,0.01306,1515,Not Habitable
K2-265 b,0.03359,1366,Not Habitable
K2-98 b,0.0986,1185,Not Habitable
Kepler-289 d,0.11312557679914075,1102,Not Habitable
Kepler-433 b,0.0679,1776,Not Habitable
CoRoT-21 b,0.0417,1102,Not Habitable
GJ 9827 c,0.0395,716,Not Habitable
HD 3167 c,0.1776,564,Not Habitable
KELT-6 b,0.11312557679914075,1102,Not Habitable
Kepler-105 b,0.11312557679914075,1102,Not Habitable
K2-10 b,0.11312557679914075,1102,Not Habitable
