Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
TOI-2158 b,198.473,1188,9.071
TOI-2285 b,42.409,284,9.034
TOI-3321 b,285.895,1616,9.67
CoRoT-30 b,1032.23,1102,13.562
K2-290 b,272.909,1230,9.42
K2-30 b,333.042,1092,11.088
Kepler-106 d,444.322,1102,11.431
Kepler-7 b,922.562,1630,11.535
TOI-1751 b,113.335,652,7.934
TOI-2368 b,210.915,1000,10.342
TOI-558 b,402.63,1061,10.262
CoRoT-24 c,591.555,850,12.924
Kepler-99 b,208.369,1102,10.757
NGTS-5 b,306.779,952,11.612
TOI-1246 e,169.422,464,9.907
TOI-329 b,284.388,1213,9.677
CoRoT-11 b,655.037,1657,11.248
HATS-46 b,453.808,1054,11.965
CoRoT-1 b,787.909,1898,12.149
CoRoT-22 b,627.158,885,11.988
Kepler-100 b,304.645,1102,9.768
HD 21520 b,79.208,637,7.707
HD 3167 b,47.2899,1774,7.066
K2-222 b,101.321,871,8.105
Kepler-20 b,282.563,1187,10.871
Kepler-20 d,282.563,430,10.871
NGTS-11 b,190.422,435,10.315
TOI-5678 b,165.393,513,9.563
K2-138 g,202.585,1102,10.305
KOI-3503 c,887.064,686,12.483
Kepler-51 c,783.831,439,13.197
CoRoT-12 b,1126.37,1442,13.557
HATS-24 b,494.182,2166,11.382
K2-132 b,609.818,1102,9.54
Kepler-68 c,144.166,1052,8.588
NGTS-21 b,592.891,1357,12.951
TIC 4672985 b,253.385,517,9.97
TOI-178 f,62.699,521,8.656
K2-60 b,491.87,1400,10.993
HD 114082 b,95.3906,1102,7.163
TOI-2152 A b,303.006,1802,9.597
K2-138 d,202.585,1102,10.305
HAT-P-53 b,666.802,1778,12.1
TIC 365102760 b,555.546,1102,9.788
HAT-P-12 b,142.751,963,10.108
Kepler-553 b,728.525,1089,13.064
LHS 1815 b,29.8424,1102,7.993
TOI-3235 b,72.811,604,10.819
HAT-P-23 b,364.813,2056,10.791
Kepler-129 c,408.845,1102,10.252
NGTS-3 A b,743.972,1102,12.814
TOI-519 b,115.557,687,11.951
K2-232 b,130.72,1030,8.434
TOI-2714 b,597.873,1603,11.807
HAT-P-7 b,341.079,1102,9.334
HATS-51 b,389.57,1553,10.867
HD 137496 b,155.317,2130,8.244
Kepler-51 d,783.831,381,13.197
Kepler-1655 b,213.26,938,9.785
Kepler-52 b,321.542,1102,12.36
TOI-4515 b,193.499,705,10.134
HATS-32 b,745.116,1437,12.699
HATS-54 b,748.585,1429,12.17
HD 152843 c,107.898,1102,7.629
Kepler-131 b,228.678,1102,10.079
TOI-5153 b,390.484,906,10.408
HIP 29442 c,68.192,1123,7.587
HIP 9618 c,67.5478,470,7.559
HD 63935 c,48.9739,620,6.881
K2-138 b,202.585,1102,10.305
Kepler-113 c,262.351,1102,11.255
Qatar-10 b,559.068,1955,11.382
TOI-421 c,74.7969,635,8.071
CoRoT-23 b,1060.97,1660,12.364
HATS-71 b,140.225,587,11.727
HAT-P-5 b,303.336,1102,10.481
HAT-P-6 b,275.358,1102,9.313
HD 80606 b,66.4711,1102,7.316
TOI-1272 b,137.572,975,9.701
TOI-1422 b,155.141,867,9.19
TOI-6029 b,603.119,1102,10.369
HD 80653 b,109.86,2463,8.018
CoRoT-25 b,1103.48,1330,12.846
Kepler-18 d,433.047,1102,11.756
Kepler-31 c,1664.64,1102,13.871
TOI-1824 b,59.4314,529,7.757
HATS-55 b,609.838,1367,12.02
Kepler-11 e,646.346,1102,12.18
Kepler-1513 b,349.247,1102,11.309
TOI-2416 b,557.733,1080,11.511
HD 106315 c,109.353,886,7.853
HD 110067 d,32.1585,602,6.492
K2-19 d,289.827,1102,11.161
Kepler-424 b,698.646,1102,12.47
Kepler-11 c,646.346,1102,12.18
TOI-1246 d,169.422,588,9.907
TOI-1775 b,149.234,708,9.722
HATS-18 b,624.368,2069,12.289
K2-110 b,116.474,638,9.607
K2-260 b,663.834,2090,11.093
Kepler-101 b,927.981,1513,12.011
Kepler-323 c,454.883,1431,11.354
Kepler-4 b,487.916,1650,10.805
K2-417 b,94.0424,558,10.06
TIC 237913194 b,306.063,974,10.485
TOI-1836 b,191.649,890,8.531
HAT-P-21 b,277.278,1102,10.111
Kepler-307 b,575.581,1102,12.321
TOI-1478 b,152.892,918,9.201
Gaia-1 b,363.66,1102,11.269
HAT-P-20 b,71.0374,970,8.601
Kepler-87 b,1232.9,478,12.981
TOI-1268 b,109.557,919,8.911
TOI-3362 b,366.987,1102,9.693
CoRoT-9 b,412.98,420,11.688
HD 25463 c,45.6181,1586,5.706
K2-32 e,157.682,1066,9.821
KOI-1783.02,865.73,1102,12.621
TOI-1685 b,37.6153,1062,8.758
HAT-P-19 b,202.078,981,10.546
HD 88986 b,33.2673,460,4.884
K2-295 b,232.801,852,10.03343479591837
Kepler-20 c,282.563,828,10.871
TOI-1842 b,223.465,1200,8.446
HATS-44 b,446.035,1161,12.188
Kepler-22 b,194.642,279,10.152
TOI-431 d,32.5686,633,6.723
Kepler-45 b,381.949,1000,12.892
TOI-2046 b,289.668,1102,10.094
Kepler-20 f,282.563,681,10.871
HAT-P-16 b,226.637,1626,9.553001
HD 86226 c,45.683,1311,6.463
TOI-5398 c,130.855,1242,8.713
HATS-29 b,353.891,1212,10.877
HD 332231 b,80.6665,798,7.242
K2-38 b,192.69,1310,9.47
Kepler-106 e,444.322,1102,11.431
Kepler-26 b,335.307,1102,12.63
Kepler-422 b,722.795,1102,12.041
TOI-1052 b,129.804,1135,8.246
HD 110067 e,32.1585,533,6.492
K2-136 b,59.2474,610,8.368
Kepler-48 c,306.738,1102,11.221
TOI-2498 b,275.265,1443,9.933
Kepler-48 b,306.738,1102,11.221
TOI-3568 b,197.906,899,10.581
CoRoT-14 b,1744.6,1952,13.806
CoRoT-2 b,213.283,1102,10.31
K2-24 b,170.562,1102,9.18
Kepler-427 b,1017.8,1100,12.777
TOI-1269 b,172.138,1005,9.89
TOI-199 b,102.27,1102,8.814
EPIC 220674823 c,244.59,805,10.344
GJ 414 A c,11.8893,125,4.979
K2-136 c,59.2474,470,8.368
K2-415 b,21.8182,412,9.899
KOI-94 e,477.052,584,10.926
Kepler-428 b,686.284,1070,13.234
Kepler-6 b,587.039,1460,11.634
