Planet_Mass_Earth,Equilibrium_Temperature,ra
9.1,279,289.2172051
9.9,633,83.2692502
160.497,1000,292.8729292
731.00534,1102,16.1849423
1.4,681,287.6979913
1332.605,1626,9.5730343
7.25,1311,149.1235154
11.8,1242,161.8795569
207.54299,1212,285.0965172
74.1,798,306.741134
7.7,1310,240.0333095
11.17,1102,300.864006
5.12,1102,284.9410627
136.66,1102,282.6296334
16.9,1135,337.5102738
3.9,533,189.8392243
4.3,610,67.4128615
14.61,1102,299.1393094
34.62,1443,95.4162204
3.94,1102,299.1393094
26.4,899,322.6023682
2415.4,1952,103.4242023
1102.82,1102,291.7770457
19.0,1102,242.5734559
92.17,1100,288.2545808
6.4,1005,249.6966397
54.03083,1102,80.1058735
8.9,805,13.0800239
53.83,125,167.7745044
18.1,470,67.4128615
7.5,412,137.2015437
35.0,584,297.3330716
403.63,1070,290.5817432
212.31044,1460,296.8372475
246.00042,676,234.8578846
540.311,1102,92.6640226
8.25,1102,288.5308924
794.5,1102,295.4179125
172.58169,1244,316.9614798
26.57,546,54.819538
14.9,470,129.6821253
215.80657,1377,284.5483823
16.5,811,14.1142611
13.71,1241,54.819538
111.0,1102,290.4617926
13.8,805,91.7996988
197.05,1102,222.7673221
378.85336,1429,294.6336944
101.38777,713,88.1468079
9.2,1022,55.2559307
3.8,1592,297.028162
473.56433,1102,184.9787579
1229.99594,1102,42.5582023
232.0159,1171,62.670422
257.431,1102,232.5774696
699.226,1102,305.4413294
689.6911,1505,311.0920041
320.995,1102,167.3279228
7.57,1102,56.3906096
3.07,1862,83.2692502
959.84179,347,258.4503674
200.2329,1645,112.4192251
10.5,825,117.9246417
10.5,1486,297.3330716
17.0,243,285.1670927
6.35,1102,291.8481764
4.66,1133,291.4181275
279.6904,1823,191.7028214
16.6,1005,252.4698351
111.871,1108,213.1438604
190.372,1752,113.7582526
189.10885,1312,176.628323
6.49,1102,76.44594
2.4,1299,299.1604859
336.0,650,286.3760037
38.5,748,241.7639371
785.0401,1102,155.6814593
2.11,1102,288.3953074
1004.33777,1102,340.0846204
6.75,1102,296.1125759
184.3414,1102,324.5359781
263.7989,1102,123.9498431
11.9,727,200.5615762
95.3,1415,256.7706392
6.4,1000,280.3266806
7.32,734,10.0891431
299.07803,1445,0.7744866
4.2,754,300.6154535
8.2,859,290.3926795
6.2,1102,284.9410627
25.06,1102,293.6413146
5.84,1102,286.0471442
1.54,508,45.4624781
41.31769,1062,259.0172522
1112.39942,592,107.4881501
260.61929,1531,201.3748265
1175.971,1102,242.5613635
365.50267,1669,335.3934698
743.71847,1772,294.3374248
36.0,1102,290.4617926
6.64,338,16.6538724
12.97,1102,348.9490311
3.64,1102,297.7950939
353.74302,1102,252.0478813
5.7,1070,101.922543
279.6904,1102,33.1310921
156.684,1458,270.4441831
9.8,973,288.9845512
3.85,1102,288.9612535
12.5,1237,334.8828486
95.34852,904,18.0485164
1.86,716,351.7717763
27.0,1102,172.1216476
209.76,1102,296.2005506
299.07803,1850,286.1103053
9.0,750,283.2125621
734.16,1102,203.6087259
148.42,1438,101.2772396
120.0,1264,167.8214811
7.6,1102,313.5110469
11.41004,798,126.4643579
29.0,458,217.3920159
4.28,1035,351.7717763
37.1,787,291.5953596
84.857,1082,35.3834942
4.47,1102,301.5785316
1058.3739,1102,303.1954355
335.62848,1102,123.250703
168.4499,1659,193.5524603
21.14,523,230.4799011
43.86054,1324,294.9416887
4.5,781,256.9817998
24.0,722,258.7623456
4.23,493,4.7730178
10.0,1075,15.5981441
9.72,931,54.819538
167.17858,1407,294.3068385
388.38826,2037,296.688442
10.48,911,129.6894456
2.71,1102,291.8481764
2.0,976,232.946047
8.7,1198,60.7483361
11.13,564,8.7401487
10.8,1102,287.8872376
181.0,1102,293.7583002
73.0,1040,293.3223259
5.69,800,189.8392243
15.4,1102,242.5734559
35.0,208,283.2125621
143.02278,1102,329.5639152
1910.14873,1180,46.8186159
248.86089,1896,150.5726262
2895.31,1102,292.2367608
22.7,422,51.7501882
406.8224,1102,343.0414932
32.4,1102,174.9602543
441.7837,1102,78.2955912
1017.0509,872,83.8689794
67.4,424,196.2197201
415.704,1700,102.7211432
718.2958,1102,101.0526207
105.833,1102,289.0758307
200.22,1078,293.0925275
169.0,481,298.2150641
29.32,1978,358.6688767
15.0,533,282.7372281
305.11527,500,173.714867
63.9,1393,223.0926408
3.94,470,7.3020115
8.21,2300,13.0800239
19.1,702,296.2446203
2.0,1102,297.1150949
25.0,1102,297.1150949
1951.46642,1102,57.6572277
5.681,506,65.2383065
4.07,998,350.0285917
772.29,1626,278.699236
1.58,581,68.4160804
1102.82,1550,98.1724172
198.953,1384,13.0009159
3.01,690,7.3020115
100.11645,804,233.0743401
5.42,1102,301.5785316
2.02,1102,288.3953074
16.0,1102,283.2413322
35.5,1102,296.3586251
5.9,1102,300.5171067
13.0,1102,284.4824281
140.16233,963,282.1001665
70.55791,1211,214.1208564
133.4886,759,87.4017825
1197.32317,1102,114.4673065
123.0,1102,256.8431021
189.42573,1367,264.2735096
20.4,752,293.2866147
8.9,795,26.2092533
1.3,615,284.0592503
213.255,1686,229.99122
53.0,1102,296.3586251
6.74,1102,296.1125759
2955.80419,860,61.6862197
209.7678,1102,283.3054489
584.78,704,288.7930651
2.56,1102,294.2189131
640.0,1102,285.2836483
68.2,2155,173.2790517
168.44906,1102,256.8601374
16.0,615,50.5104166
222.481,1518,101.9942455
5.0,1102,284.7862158
3.58,2130,305.4749252
165.26,1600,279.7504991
71.0,1102,289.3414629
40.363,1102,294.496955
257.4423,2040,285.6729033
4.3,495,281.4824731
4.44,1102,294.2189131
1.63,1102,348.9490311
3.2,1102,286.0363025
308.2951,388,299.1224639
136.661,1440,289.6079433
117.91493,1457,157.4123405
228.83,1074,102.1946233
20.0,1102,285.3111845
14.7,1102,286.0471442
1938.763,1385,4.859275
387.7526,1669,79.7682532
3302.11,1500,278.4958319
429.0705,1862,118.0634379
9.1,716,93.0578446
10.9,1129,136.777644
5.3,1102,300.864006
10.9,1102,300.5171067
1900.61387,799,81.3445824
232.0159,1102,330.7950219
6.1,851,290.4209694
7.5,2015,287.3619673
3.55,1102,285.6616933
310.83618,1102,51.2284214
123.9537,1102,300.4280761
7.4,949,240.0333095
589.55,1359,175.5252399
3.0,686,281.4824731
942.0,1102,128.6616644
227.0,894,204.5426717
371.528,1271,284.2960393
5.04,489,189.8392243
1907.0,543,289.2687388
43.4,1102,285.5739904
153.82972,1102,278.6883216
10.7,651,26.2092533
434.1536,1759,253.7688479
896.24,1776,297.5936232
9.5,1102,291.1481028
1303.0,1102,297.8423073
349.61125,1102,294.4335228
4.1,1102,300.5171067
30.0,521,297.398678
2.68,458,10.5697537
533.95172,1544,143.9265177
2946.26933,191,258.4503674
2011.8639,1586,99.2630608
216.12332,1567,277.7510149
97.57332,1168,21.0651251
11.3,1102,285.2836483
79.45,1070,290.3579781
12.9,417,297.4865503
2.15,1102,290.9734395
26.69759,1102,86.8509737
8.3,751,168.6376584
8.03,1275,291.0323102
22.2481,1102,213.1565508
4.9,1276,290.3926795
1.4,1269,164.7772913
120.7754,1102,247.6229827
638.0,1358,163.487394
45.4,1102,286.7380152
1.68,2223,293.7419543
10.84,1102,281.1947316
37.0,300,261.3748943
321.00669,134,292.6585253
11.1,1400,280.3266806
3.7,1102,297.4653351
8.0,2008,245.9079242
638.8351,701,127.882912
3.86,600,7.3020115
206.58846,1102,100.8331246
304.16179,1102,164.9324709
3.02,675,351.7717763
17.2,622,117.4793699
54.34893,1102,161.7069053
3.79,1102,282.4922622
6.86,1102,293.6413146
27.4,952,259.0235918
5.58,1309,59.8903081
38.0,434,288.9845512
6.69,1102,152.2182549
317.83,1102,353.0620655
1000.21101,1413,60.9482779
5.77,1102,130.0266951
12.4,694,208.9014508
778.65,1570,298.3952437
16.1,688,217.3920159
721.4741,1102,271.5376722
379.0,1060,287.7411441
10.0,1378,297.028162
1462.01067,1102,296.8241065
55.0,543,217.3920159
283.492,1652,274.3732697
11.56,1102,253.7848853
8.11,642,36.8678846
874.0325,2453,314.2685227
3.78,1413,283.255507
8.83,2128,338.9837166
7.943,585,65.2383065
7.81,1102,294.2189131
158.9,1102,297.8423073
425.57437,1284,75.795382
2.89,999,82.2900716
2.33,595,44.3388743
4.97,2103,350.9170464
4.5,1102,298.348382
699.2,1620,296.8136883
270.1555,1102,278.9020691
75.323,1025,67.2228465
711.9392,1834,140.0875894
177.98,1790,294.5132465
3209.9,767,291.1376203
9.1,862,251.1158702
563.83042,1102,245.4405531
7.05,1102,291.3861294
435.41,1102,285.2685283
4.77,873,7.3020115
734.1873,1102,100.8480137
2.8,1842,162.7766969
411.27202,1418,303.3818697
45.8,615,334.5041029
731.00534,1375,187.6867207
56.64,885,319.4982407
9.95,1323,309.9712091
6.7,922,81.8532824
259.98494,1218,42.7217412
6.3,699,189.8392243
7.34184,1366,342.0316493
20.6,1650,89.5988945
387.0,1494,38.361569
486.2799,1370,110.5126861
32.7,1040,238.108194
12.81,790,230.4799011
60.5,1102,353.0331863
7.99,1102,133.1468373
1.63,1102,292.1370409
638.8383,2140,294.1921185
75.96099,1486,166.8806581
359.1479,1102,300.1821223
11.26782,1515,157.9356855
587.41341,1781,188.2662048
7.9,2223,182.751404
15.6,1012,297.3330716
4.7,590,281.4824731
10.44,1102,300.864006
616.5902,1102,148.6431193
11.14,1102,290.4132621
4.13,1102,296.1125759
352.78,2000,97.0335983
3.38,1102,282.4922622
157.18,1102,297.4653351
5.4,916,287.4786474
340.39593,1276,313.2154754
8.92,284,172.560141
3.34,693,20.4384281
29.875,984,288.7930651
213.58176,1253,284.3997616
597.5204,1856,108.4523991
9.6,1102,256.1387513
263.79758,1397,286.7965405
420.471,1315,94.1120914
9.99,1102,290.4132621
31.3,943,97.7487104
57.2,1871,348.0589516
37.3,886,117.4793699
321.00669,696,126.5535002
28.6047,1102,338.3682095
2.0,499,284.0592503
200.2319,684,259.0172522
18.4,1212,162.7766969
8.0,695,350.9170464
10.4,804,186.4860415
7.7,1173,297.028162
1026.5909,1620,285.2408288
9.77,1102,292.2945208
687.14846,1332,91.8722801
15.2,723,186.5242821
8.7,993,203.3974857
1595.4986,3646,253.1862971
259.66581,1102,110.7353308
14.1,955,297.028162
3.9,1838,291.3822988
36.0,270,283.2125621
9.2,1102,229.8374423
20.8,1199,88.3784618
22.2481,1102,53.6511231
20.97667,966,130.180046
1767.0,1363,263.7580753
62.61,852,256.346376
1115.5833,1102,42.4366123
29.24036,1143,328.5174799
947.12865,688,46.2926368
127.13136,565,103.4128333
340.382,1648,312.4574879
22.1,1102,293.7583002
375.02,2013,162.6440933
222.47988,1927,142.743406
1039.3041,1592,358.5588439
371.8611,2061,7.3289156
378.2177,1134,160.748095
19.8,825,286.3760037
2.44,1694,201.2826259
1233.17422,1198,208.9447534
174.4878,1566,127.762837
23.1,1102,285.2836483
4.16,1102,288.9612535
10.6,759,185.0628734
3.21,682,16.6538724
9.7,694,257.3288678
3.0,1102,291.3861294
7.24,373,10.0891431
48.8,489,65.280648
124.90656,414,70.9975864
797.7533,1404,112.965421
7.9,854,169.4490102
613.4119,347,293.2815266
34.4,917,234.4317651
47.6745,938,100.1951714
4.3,1328,169.4490102
1.44,1102,331.5031606
152.5584,1102,335.5129199
327.3649,1721,186.7873036
670.93913,1750,299.4070341
1.5,1040,7.3020115
4.07661,1102,100.9561682
224.38798,1414,5.618525
11.7,1102,287.9978721
441.77,2212,269.1479583
3.0,420,67.4128615
1.84,1102,290.9734395
7.6,309,167.7745044
331.801,1428,135.3443583
460.83,511,291.2250888
1093.3352,1102,260.1161719
34.9613,1089,154.6710977
3.26,2188,285.679298
1.9,1102,297.1150949
120.0,1102,289.2262876
30.8,700,64.1902212
203.09235,1101,307.4182976
58.7,947,161.8795569
874.0,600,291.0636813
870.8542,858,174.0098693
165.2716,1102,195.9818362
176.07694,1818,315.9054895
12.6,1153,183.4724742
8.3,641,30.9050061
5.2,1026,173.1919022
3.83,1102,291.2501859
1719.4603,1102,293.2822344
1430.175,1102,166.9798793
693.50158,1371,203.509956
10.8,1102,174.9602543
6.9,913,208.9014508
7.13,1102,291.2501859
1582.78547,1102,95.3088995
6.31,1102,348.9490311
7.49,1102,130.0266951
6.0,438,293.6792058
4.53,979,90.9842762
14.8,582,325.2016451
273.3338,1587,347.7043164
908.96,1000,293.5863887
29.9,1102,285.5739904
753.2571,1679,325.0145363
3.72,475,90.9842762
78.5,1439,51.6572691
7.3,1102,297.1150949
5.0,1102,298.348382
4.3,708,170.3135774
38.1396,1084,208.8567465
122.0,475,286.830312
1369.8473,1681,359.1519716
206.5895,1102,206.0940142
194.82979,1277,207.9076746
5.33,1102,297.4653351
197.046,1102,267.8677483
13.9,594,119.7735021
2669.66,1102,287.708814
69.92,1102,296.4358022
14.0,510,283.2125621
165.27077,1499,168.5638892
1868.8404,1102,294.3565559
374.71969,1102,297.2158166
4.78,387,68.4160804
1.9,940,311.2697002
11.02,613,285.6025889
2.1,543,296.4797624
1.258,722,286.8540627
308.92921,962,188.9223576
129.0,675,144.5553
82.95363,1003,80.5382418
15.0,837,252.426008
6.9,1102,298.0794448
189.101,1605,292.8557189
187.5197,1680,281.2881335
6.4,403,297.9168433
953.49,1401,78.9198197
2.23,475,286.4714473
2161.244,1102,294.0230229
6.15,488,68.4160804
32.0,1180,166.2695041
8.46,1102,297.0698263
73.2,1479,211.4593468
5.738,494,175.5755995
4.19,1102,288.9612535
1373.0256,1415,7.0539375
9.2,785,293.1507654
11.4,578,285.679298
327.351,1102,160.0598236
57.0,831,282.7372281
360.09959,1701,205.3539534
292.40213,1580,71.0281482
3082.951,1710,103.5173558
34.00764,1185,126.4882114
22.4,603,94.2838373
743.71847,636,118.9945352
1182.32167,1648,12.9908008
1652.70772,447,349.2211822
8.1,955,251.1158702
6.7,550,252.426008
483.0,1102,298.150057
24.1,1102,44.2620144
5.6,1102,287.8872376
8.38,1102,292.2945208
235.1942,1468,215.1227617
12.3,1100,43.4344615
25.0,847,297.7101763
5.14,920,93.0578446
44.1,1203,313.1670294
616.5902,1102,66.248142
505.3497,2101,100.5712467
18.496,881,65.2383065
2.06,1102,292.1370409
7.93,1102,299.1393094
2809.6172,1102,218.2766247
317.83,1100,176.2990518
3.65,553,160.0658525
371.8611,1102,72.6605916
594.3421,1638,256.5375549
390.9309,833,203.1060194
92.1707,1102,315.0259661
158.915,1102,313.7832393
9.1,941,115.1366858
473.5667,1102,286.8085258
390.9309,1600,55.9336392
886.7457,1590,4.1463468
174.8065,1850,68.1364792
276.5121,1337,3.9032733
10.5,641,187.9948428
311.4734,1160,214.0595791
731.009,1620,223.6587187
676.9779,1610,344.8735878
731.009,1102,41.0400779
150.96925,1496,224.8728589
317.83,1500,7.7095292
750.39663,1733,131.5803897
321.00669,1102,61.331654
247.9074,1102,268.3043361
603.877,1102,267.2848846
146.2,1315,348.4947931
5.0,520,178.577997
133.4886,1340,96.7446427
9.67,1102,159.3412205
187.5197,1102,205.4542456
174.8065,1102,356.6667136
305.1168,1487,311.0427558
117.5971,1102,348.1571282
282.8687,1200,322.2537644
270.1555,1102,190.6188034
117.5971,1102,91.0897193
117.5971,1102,94.3363562
492.62,1480,133.3242982
285.72917,1520,289.4792124
143.0235,1102,183.3660401
95.349,1102,36.7758112
37.18611,910,49.562173
878.0,1561,199.3338503
280.95,1102,101.1275033
772.3269,1102,278.6317411
441.7837,1102,29.2634506
392.83788,1252,144.1193594
139.8452,1260,320.7628761
1001.12,1370,348.9930457
378.2,1230,116.7163868
225.6593,1102,76.0818912
190.698,1400,332.7143373
151.916,1102,169.4388603
692.8694,1102,185.3246821
251.0857,1102,47.3689472
562.24127,2043,327.6656953
133.4886,1102,309.5112337
188.15536,2198,299.0506412
2542.64,2329,196.0437932
193.8763,1102,203.7581951
255.85315,1871,246.6920395
263.7989,1102,240.5492745
98.841,1379,5.1605621
295.89973,1311,307.7255587
162.0933,1102,98.3511016
254.264,1102,291.1623865
394.1092,1102,227.2154975
181.1631,1480,209.51701
400.4658,1102,68.9598159
306.38812,1153,5.2377567
271.74465,1721,313.6872928
2316.9807,1102,65.4695814
1341.2426,1102,18.9953122
79.77493,555,166.0747423
1172.7927,1880,354.1686959
159.55066,1111,163.7888521
502.15,1706,359.3490277
114.4188,1102,140.1029654
286.047,1540,123.3922465
18.467,1253,222.1654705
91.21675,1102,254.1305022
908.9938,1102,319.9496969
457.6752,1102,337.4578243
1875.197,1120,313.9000261
41.8,934,32.782085
270.1555,1102,4.6030424
266.9772,2000,140.5063164
2688.8418,1460,264.2630197
212.9461,1102,52.8180374
178.30263,1604,127.3872297
120.45697,995,157.0372806
835.8929,1102,3.9617073
607.03,1102,268.0291106
746.9005,1102,158.2250301
1652.716,910,168.2929079
572.094,900,24.1678686
772.3269,1102,39.8976689
331.0,745,60.4246951
368.6828,1790,314.5754375
340.06,1710,342.3858995
4.45,674,160.0658525
171.6282,1102,208.9280111
432.2488,1102,24.6051389
136.6669,1102,295.7438485
41.8,1102,28.7157956
394.1092,1102,214.6830109
514.8846,1102,166.4296276
200.2329,1840,315.5319489
467.2101,1942,9.4587443
6.9,420,178.577997
572.07,1102,221.9438866
607.0553,1636,318.7370122
270.15415,1716,66.3709016
