Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type
HD 110113 b,0.093,1371,Circular/Stable
TOI-4994 b,0.319,718,Highly Eccentric
TOI-132 b,0.059,1395,Circular/Stable
GJ 3929 b,0,568,Circular/Stable
K2-100 b,0,1841,Circular/Stable
TOI-2842 b,0,1471,Circular/Stable
HATS-48 A b,0.162,955,Circular/Stable
Kepler-111 c,0.176,352,Circular/Stable
TOI-5218 b,0,783,Circular/Stable
TOI-5688 A b,0.128,742,Circular/Stable
Kepler-138 c,0.017,410,Circular/Stable
TOI-125 d,0.168,638,Circular/Stable
TOI-2120 b,0.32,384,Highly Eccentric
TOI-815 c,0.22,469,Circular/Stable
TOI-815 b,0.2,686,Circular/Stable
TOI-836 c,0.078,665,Circular/Stable
WASP-166 b,0,1270,Circular/Stable
WASP-132 c,0,1329,Circular/Stable
TOI-908 b,0.132,1317,Circular/Stable
TOI-954 b,0.14,1526,Circular/Stable
TOI-674 b,0,635,Circular/Stable
TOI-6651 b,0.091,1493,Circular/Stable
WASP-174 b,0,1528,Circular/Stable
TOI-905 b,0.024,1192,Circular/Stable
TOI-858 B b,0.15,1529,Circular/Stable
WASP-193 b,0.056,1254,Circular/Stable
WASP-77 A b,0.0074,1715,Circular/Stable
TOI-836 b,0.053,871,Circular/Stable
XO-7 b,0.038,1743,Circular/Stable
WASP-153 b,0.009,1700,Circular/Stable
WASP-19 b,0.0126,2113,Circular/Stable
WASP-18 b,0.0051,2429,Circular/Stable
TOI-782 b,0.19,435,Circular/Stable
TOI-733 b,0.046,1056,Circular/Stable
Wolf 327 b,0,996,Circular/Stable
WASP-132 b,0.0163,682,Circular/Stable
CoRoT-23 b,0.16,1660,Circular/Stable
Kepler-52 b,0.09342614,1102,Circular/Stable
CoRoT-4 b,0,1074,Circular/Stable
K2-233 c,0.2002,790,Circular/Stable
KOI-1783.02,0,1102,Circular/Stable
Kepler-117 c,0.0323,704,Circular/Stable
Kepler-19 b,0.41,851,Highly Eccentric
Kepler-37 d,0.1,499,Circular/Stable
Kepler-49 c,0.008,1102,Circular/Stable
NGTS-21 b,0,1357,Circular/Stable
HATS-29 b,0.158,1212,Circular/Stable
HIP 29442 c,0.09342614,1123,Circular/Stable
Kepler-23 d,0.01,1102,Circular/Stable
CoRoT-13 b,0,1700,Circular/Stable
CoRoT-5 b,0.09,1438,Circular/Stable
Kepler-103 c,0.095,434,Circular/Stable
Kepler-78 b,0,2223,Circular/Stable
TOI-1775 b,0,708,Circular/Stable
TOI-6029 b,0.091,1102,Circular/Stable
K2-136 d,0.071,420,Circular/Stable
KELT-10 b,0.09342614,1377,Circular/Stable
Kepler-45 b,0.11,1000,Circular/Stable
OGLE-TR-211 b,0,1102,Circular/Stable
TIC 172900988 b,0.0271,1102,Circular/Stable
HAT-P-51 b,0.09342614,1168,Circular/Stable
HD 63433 b,0,886,Circular/Stable
Kepler-18 d,0,1102,Circular/Stable
TOI-1749 c,0.019,673,Circular/Stable
55 Cnc e,0.05,1102,Circular/Stable
HATS-71 b,0,587,Circular/Stable
Kepler-18 c,0,1102,Circular/Stable
Kepler-35 b,0.042,1102,Circular/Stable
CoRoT-19 b,0.047,2000,Circular/Stable
HAT-P-15 b,0.19,1102,Circular/Stable
Kepler-29 b,0,1102,Circular/Stable
GJ 3090 b,0.32,693,Highly Eccentric
HAT-P-30 b,0.04,1102,Circular/Stable
HATS-24 b,0,2166,Circular/Stable
HD 152843 b,0.14,1102,Circular/Stable
HD 86226 c,0.075,1311,Circular/Stable
TOI-1181 b,0.011,1102,Circular/Stable
TOI-1269 b,0,1005,Circular/Stable
TOI-2076 d,0,458,Circular/Stable
CoRoT-1 b,0,1898,Circular/Stable
HAT-P-3 b,0,1102,Circular/Stable
K2-238 b,0,1587,Circular/Stable
Kepler-107 d,0.11,1173,Circular/Stable
Kepler-23 c,0.021,1102,Circular/Stable
HAT-P-46 b,0.123,1458,Circular/Stable
HATS-46 b,0.559,1054,Highly Eccentric
K2-146 c,0.075,1102,Circular/Stable
KELT-11 b,7.0E-4,1102,Circular/Stable
Qatar-10 b,0,1955,Circular/Stable
GJ 806 b,0.09342614,940,Circular/Stable
NGTS-4 b,0,1650,Circular/Stable
HAT-P-5 b,0,1102,Circular/Stable
Kepler-80 d,0.09342614,1102,Circular/Stable
LHS 1478 b,0.09342614,595,Circular/Stable
TIC 279401253 b,0.448,1102,Highly Eccentric
TOI-2202 b,0.042,1102,Circular/Stable
TOI-5720 b,0.09342614,708,Circular/Stable
CoRoT-29 b,0.082,1102,Circular/Stable
K2-415 b,0.09342614,412,Circular/Stable
Kepler-31 c,0.09342614,1102,Circular/Stable
TOI-481 b,0.153,1370,Circular/Stable
HD 15337 c,0.05,642,Circular/Stable
K2-260 b,0.053,2090,Circular/Stable
K2-32 d,0.05,550,Circular/Stable
Kepler-423 b,0.019,1605,Circular/Stable
TOI-4515 b,0.461,705,Highly Eccentric
HIP 9618 b,0,641,Circular/Stable
Kepler-16 b,0.0069,1102,Circular/Stable
Qatar-3 b,0,1681,Circular/Stable
NGTS-23 b,0,1327,Circular/Stable
TOI-3235 b,0.029,604,Circular/Stable
HATS-30 b,0.096,1414,Circular/Stable
HATS-51 b,0.33,1553,Highly Eccentric
HD 25463 b,0,1198,Circular/Stable
HD 97658 b,0.05,751,Circular/Stable
TOI-1437 b,0.17,1102,Circular/Stable
HAT-P-16 b,0.036,1626,Circular/Stable
TOI-1742 b,0.3,694,Circular/Stable
TOI-1824 b,0,529,Circular/Stable
TOI-2154 b,0.117,1580,Circular/Stable
TOI-6255 b,0,1102,Circular/Stable
K2-266 b,0.09342614,1515,Circular/Stable
K2-265 b,0.16,1366,Circular/Stable
K2-98 b,0.119,1185,Circular/Stable
Kepler-289 d,0.09342614,1102,Circular/Stable
Kepler-433 b,0.119,1776,Circular/Stable
CoRoT-21 b,0,1102,Circular/Stable
GJ 9827 c,0.09342614,716,Circular/Stable
HD 3167 c,0.06,564,Circular/Stable
KELT-6 b,0.22,1102,Circular/Stable
Kepler-105 b,0.02,1102,Circular/Stable
K2-10 b,0.31,1102,Highly Eccentric
K2-30 b,0,1092,Circular/Stable
TOI-3919 b,0.259,1198,Circular/Stable
K2-180 b,0.075,798,Circular/Stable
K2-24 b,0.06,1102,Circular/Stable
Kepler-539 b,0.39,388,Highly Eccentric
TOI-5005 b,0.09342614,1040,Circular/Stable
TOI-150.01,0.262,1404,Circular/Stable
TOI-260 b,0,493,Circular/Stable
K2-19 d,0.09342614,1102,Circular/Stable
Kepler-14 b,0.035,1102,Circular/Stable
Kepler-68 c,0.099,1052,Circular/Stable
TOI-2088 b,0,300,Circular/Stable
CoRoT-27 b,0.065,1500,Circular/Stable
HD 106315 c,0.22,886,Circular/Stable
HIP 9618 c,0,470,Circular/Stable
KELT-2 A b,0,1102,Circular/Stable
Kepler-413 b,0.1181,1102,Circular/Stable
LTT 1445 A c,0.223,508,Circular/Stable
TOI-4377 b,0.045,1102,Circular/Stable
CoRoT-24 c,0,850,Circular/Stable
HATS-55 b,0.092,1367,Circular/Stable
HD 209458 b,0,1102,Circular/Stable
HD 221416 b,0.115,1102,Circular/Stable
Kepler-60 b,0.09342614,1102,Circular/Stable
HD 28109 d,0.0864,506,Circular/Stable
Kepler-79 c,0.03,1102,Circular/Stable
TOI-1472 b,0,811,Circular/Stable
TOI-2141 b,0.21,722,Circular/Stable
KOI-3680 b,0.496,347,Highly Eccentric
Kepler-34 b,0.182,1102,Circular/Stable
HAT-P-28 b,0.051,1384,Circular/Stable
Kepler-11 b,0.045,1102,Circular/Stable
Kepler-406 b,0.09342614,1102,Circular/Stable
Kepler-424 b,0.09342614,1102,Circular/Stable
Kepler-1705 b,0.033,1102,Circular/Stable
Kepler-29 c,0,1102,Circular/Stable
Qatar-4 b,0,1385,Circular/Stable
TOI-2529 b,0.021,636,Circular/Stable
TOI-431 b,0,1862,Circular/Stable
TOI-4600 b,0.25,347,Circular/Stable
TOI-5301 b,0.33,1648,Highly Eccentric
HD 183579 b,0.061,752,Circular/Stable
CoRoTID 223977153 b,0.09342614,938,Circular/Stable
Kepler-100 d,0.09342614,1102,Circular/Stable
TOI-1422 b,0.04,867,Circular/Stable
Kepler-538 b,0.21,417,Circular/Stable
TOI-1694 b,0,943,Circular/Stable
TOI-1823 b,0,424,Circular/Stable
KOI-94 d,0.022,806,Circular/Stable
Kepler-10 b,0,2188,Circular/Stable
Gaia-2 b,0.09342614,1102,Circular/Stable
K2-138 b,0.048,1102,Circular/Stable
TOI-1811 b,0.052,962,Circular/Stable
TOI-2019 b,0,917,Circular/Stable
HD 88986 b,0.24,460,Circular/Stable
HD 89345 b,0.22,1089,Circular/Stable
K2-110 b,0.13,638,Circular/Stable
K2-38 b,0.11,1310,Circular/Stable
HD 73344 b,0.03,911,Circular/Stable
KELT-7 b,0,1102,Circular/Stable
Kepler-21 b,0,2015,Circular/Stable
TOI-1601 b,0,1494,Circular/Stable
K2-131 b,0,2223,Circular/Stable
TOI-2018 b,0,1102,Circular/Stable
TOI-220 b,0.032,805,Circular/Stable
HAT-P-66 b,0.09,1896,Circular/Stable
Kepler-102 d,0.092,686,Circular/Stable
CoRoT-24 b,0,1070,Circular/Stable
HAT-P-39 b,0,1752,Circular/Stable
Kepler-103 b,0.093,973,Circular/Stable
HD 28109 b,0.3307,881,Highly Eccentric
Kepler-422 b,0.09342614,1102,Circular/Stable
Kepler-97 b,0.09342614,1102,Circular/Stable
TOI-2589 b,0.522,592,Highly Eccentric
HATS-33 b,0.08,1429,Circular/Stable
HD 63433 c,0,622,Circular/Stable
Kepler-105 c,0.02,1102,Circular/Stable
Kepler-289 c,0.09342614,1102,Circular/Stable
Kepler-323 c,0.095,1431,Circular/Stable
Kepler-425 b,0.33,1070,Highly Eccentric
Qatar-2 b,0,1344,Circular/Stable
Kepler-85 b,0.02,1102,Circular/Stable
Kepler-93 b,0,1133,Circular/Stable
TOI-1853 b,0.03,1479,Circular/Stable
HAT-P-27 b,0,1102,Circular/Stable
LP 714-47 b,0.04,700,Circular/Stable
