Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
5625.0,1.16,1.07
5800.0,1.35,0.96
5499.0,0.85,0.9
5255.0,0.82,0.94
5532.0,0.99,0.95
4120.0,0.68,0.65
4500.0,0.68,0.74
3173.0,0.2,0.16
6182.0,1.52,1.28
5150.0,0.8,0.87
5647.0,1.39,1.21
6302.0,1.51,1.19
6327.0,1.93,1.54
5685.0,1.03,1.02
6430.0,1.74,1.39
5523.0,0.89,0.96
6169.0,1.12,1.1
5368.0,0.85,0.88
5948.0,1.21,1.11
5133.0,0.84,0.92
6169.0,1.12,1.1
5858.0,0.89,0.98
5298.0,0.86,0.82
5316.0,0.86,0.92
5659.0,1.02,1.06
3724.0,0.57,0.57
5897.0,1.26,1.07
5854.0,1.45,1.24
4896.0,3.55,1.31
6560.0,1.72,1.41
5358.0,0.86,0.94
5000.0,0.82,0.87
6820.0,2.06,2.22
5311.0,0.92,0.87
5924.0,1.14,1.14
3472.0,0.45,0.45
4850.0,0.73,0.78
5170.0,0.81,0.89
6572.0,1.62,1.38
5513.0,0.96,0.94
6182.0,1.52,1.28
5100.0,0.76,0.84
5538.0,1.07,1.07
5669.0,0.92,0.91
6050.0,1.87,1.27
5621.0,0.97,0.95
5295.0,0.95,0.94
6430.0,1.62,1.4
5644.0,1.1,0.96
5520.0,0.9,0.93
6104.0,1.48,1.19
4360.0,0.7,0.74
5841.0,1.62,1.23
5302.0,1.11,1.13
5818.0,1.38,1.12
6520.0,1.14,1.14
4540.0,0.68,0.73
5246.0,0.87,0.99
6304.0,1.31,1.55
5497.0,0.98,1.01
5567.0,1.7,1.16
5464.0,0.83,0.91
3709.0,0.47,0.47
5380.0,0.98,0.95
5087.0,0.8,0.85
5950.0,1.39,1.09
3914.0,0.51,0.54
5187.9,0.83,0.86
5732.0,1.32,0.92
3340.0,0.27,0.26
6170.0,1.32,1.21
5579.0,1.07,0.93
6000.0,1.5,1.14
3540.0,1.05,0.56
6860.0,1.6,1.57
6500.0,1.78,1.39
5858.0,0.89,0.98
3496.0,0.34,0.34
5356.3,0.86,0.94
5367.0,0.81,0.91
6020.0,1.98,1.37
4950.0,0.86,0.91
6087.0,1.3,1.45
6120.0,1.4,1.28
6009.0,1.49,1.21
5905.0,1.26,1.04
4635.0,0.76,0.79
6219.0,1.29,1.19
4236.0,0.58,0.62
5620.0,0.98,0.92
5515.0,0.99,1.02
5750.0,1.29,1.17
4925.0,0.64,0.69
4400.0,0.59,0.69
6100.0,1.19,1.0
5394.0,0.96,0.98
6117.0,1.53,1.31
5365.0,0.72,0.73
5192.0,0.8,0.86
4236.0,0.58,0.62
5500.0,1.28,1.03
5330.0,0.92,0.89
6312.0,1.26,1.14
6442.0,1.53,1.39
6096.0,1.44,1.24
6438.0,1.74,1.42
5033.0,0.71,0.79
5679.0,1.09,1.06
5968.0,1.12,1.03
5659.0,0.98,0.94
4026.0,0.61,0.62
5934.0,1.01,1.03
6169.0,1.12,1.1
5880.0,1.1,1.1
6300.0,1.43,1.32
6252.6,1.22,1.2
5538.0,1.07,1.07
4115.0,0.61,0.6
6353.0,1.42,1.25
5261.0,0.88,0.84
5933.0,1.03,0.99
4840.0,4.23,1.32
6235.0,1.36,1.23
5266.0,0.79,0.8
5625.0,1.16,1.07
4925.0,0.64,0.69
6000.0,2.31,1.54
5925.0,1.23,1.03
6002.0,1.88,1.25
5400.0,0.59,0.65
4640.0,0.69,0.73
6200.0,1.57,1.27
5322.0,0.82,0.88
6768.0,1.81,1.76
3572.0,0.53,0.56
4927.0,0.8,0.84
5945.0,1.01,1.09
6200.0,1.95,1.29
4450.0,0.65,0.69
6000.0,1.12,1.18
6407.0,1.73,1.53
5443.0,0.95,0.77
3985.0,0.55,0.58
5455.0,0.91,0.94
5718.0,1.56,1.16
4316.0,0.65,0.65
5532.0,0.99,0.95
5216.0,0.84,0.93
5663.0,1.06,0.96
5663.0,1.06,0.96
5951.0,1.06,1.13
6120.0,1.45,1.26
3842.0,0.6,0.61
5740.0,1.59,1.04
3506.0,0.38,0.39
5440.0,1.0,0.95
5680.0,1.1,1.02
4316.0,0.65,0.65
5695.0,1.07,1.06
6312.0,1.26,1.14
5818.0,1.38,1.12
5527.0,0.83,0.94
5843.0,1.03,0.95
6174.0,1.3,1.17
5699.0,1.41,1.08
4775.0,0.71,0.74
5690.0,1.06,1.06
6394.0,1.32,1.32
5315.0,0.92,0.89
5800.0,1.05,1.1
5804.0,1.1,1.03
5784.0,0.96,1.0
5618.0,0.96,0.94
5357.0,0.79,0.79
5860.0,1.1072227151730252,0.980177462289264
5843.0,1.03,0.95
4540.0,0.68,0.73
5651.0,1.1,1.04
5754.0,1.46,0.81
6150.0,1.61,1.13
5828.0,1.55,1.08
5498.0,0.95,0.99
6177.0,1.31,1.29
5190.0,2.5,1.34
5070.0,0.78,0.8
6450.0,1.31,1.27
6104.0,1.23,1.08
5460.0,0.91,0.95
5590.0,1.79,1.09
5922.0,1.14,1.08
5606.0,1.03,0.89
4550.0,6.3,1.31
4909.0,0.72,0.8
5828.0,1.55,1.08
5356.3,0.86,0.94
5476.0,1.01,1.0
5820.0,0.95,1.05
5520.0,0.99,0.95
5738.0,1.31,1.03
6190.0,1.17,1.16
5770.0,1.65,1.18
5732.0,1.32,0.92
5215.0,0.85,0.9
6495.0,1.65,1.44
5900.0,1.08,1.05
6280.0,1.7,1.27
5289.0,0.98,0.9
6007.0,1.32,1.2
5858.0,1.04,1.0
6174.0,1.3,1.17
5581.0,1.05,0.99
6091.0,1.19,1.23
5541.0,0.86,0.94
6305.0,1.9,1.41
5539.0,1.11,0.99
5144.0,0.79,0.82
5990.0,1.12,1.17
5705.0,1.14,1.05
5870.0,1.04,0.99
4909.0,0.72,0.8
6050.0,1.38,1.24
5805.0,1.0,1.03
5500.0,0.88,0.93
5266.0,0.79,0.8
5155.0,0.94,0.9
5774.0,0.96,1.02
5150.0,1.78,1.01
5618.0,0.96,0.94
6180.0,1.24,1.26
6360.0,2.26,1.46
5466.0,0.9,0.99
3900.0,0.53,0.58
5820.0,1.09,0.98
6174.0,1.3,1.17
5224.0,0.75,0.77
3433.0,0.43,0.43
5691.0,1.07,0.94
5170.0,0.81,0.89
6250.0,1.34,1.31
6730.0,1.52,1.32
5453.0,0.99,0.96
5498.0,0.95,0.99
5170.0,0.86,0.93
5534.0,0.87,0.89
5505.2,0.88,0.93
5096.0,0.79,0.85
5212.0,0.73,0.85
5847.0,1.26,1.06
5079.0,0.87,1.12
5950.0,1.39,1.09
5785.0,0.94,0.92
6179.0,1.41,1.42
5940.0,1.08,1.03
4075.0,0.52,0.54
5058.0,0.75,0.78
4781.0,0.76,0.81
5081.0,0.85,0.9
4884.0,0.75,0.78
5464.0,0.83,0.91
5990.0,1.0,1.08
6237.0,1.65,1.25
4899.0,0.83,0.86
4316.0,0.65,0.65
5966.0,2.9,1.53
4974.0,3.52,1.36
4236.0,0.58,0.62
5634.0,0.92,0.99
5375.0,2.69,1.44
6072.0,1.66,1.18
5187.9,0.83,0.86
5205.0,0.87,0.9
5775.0,1.25,0.84
6009.0,1.49,1.21
3997.0,0.62,0.63
5875.0,0.88,1.04
5587.0,0.96,1.03
3385.0,0.33,0.33
4491.0,0.68,0.71
5781.0,1.01,1.04
5192.0,0.8,0.86
6065.0,1.39,1.31
5991.0,1.08,1.09
5854.0,1.45,1.24
6157.0,1.12,1.09
5192.0,0.8,0.86
6330.0,1.32,1.26
6310.0,1.43,1.15
5125.0,0.86,0.9
6236.0,1.36,1.21
5667.0,1.56,1.17
5978.0,1.1,1.07
6120.0,1.45,1.26
5828.0,1.55,1.08
3900.0,0.53,0.58
4730.0,0.75,0.77
4169.0,0.62,0.63
3381.0,0.25,0.24
4570.0,0.68,0.71
5378.0,0.73,0.76
6510.0,2.13,1.48
5260.0,0.9,0.97
5304.0,0.87,0.94
6010.0,1.05,1.11
5750.0,1.29,1.15
5200.0,0.89,0.91
5213.0,0.86,0.89
5280.0,0.78,0.91
5825.0,1.49,1.08
5493.0,1.05,1.0
4316.0,0.65,0.65
6566.0,1.47,1.42
5908.0,1.03,1.08
5013.0,0.8,0.84
5735.0,1.02,1.04
5734.0,1.51,1.04
4802.0,0.69,0.75
3875.0,0.58,0.6
5291.0,0.87,0.83
5131.0,0.89,0.89
5266.0,0.79,0.8
5420.0,0.92,0.9
5143.0,0.84,0.75
5982.0,2.19,1.51
5735.0,1.66,1.14
5749.0,0.93,0.97
5033.0,0.71,0.79
5080.0,2.94,1.21
5172.0,0.94,0.91
4499.3,0.66,0.68
6409.0,1.32,1.2
5710.0,1.45,1.23
5052.0,0.75,0.79
4285.0,0.7,0.69
5620.0,1.04,1.03
5120.0,0.76,0.8
6182.0,1.52,1.28
4909.0,0.72,0.8
5858.0,1.04,1.0
6304.0,1.7,1.96
6028.0,1.1,1.06
4540.0,0.68,0.73
6090.0,1.65,1.21
6072.0,1.66,1.18
5990.0,1.0,1.08
5687.0,1.07,1.03
5346.0,0.93,0.97
3457.0,0.41,0.36
3556.0,0.52,0.52
6150.0,1.61,1.13
5498.0,0.92,0.93
6060.0,1.48,1.27
6008.0,1.17,1.1
5627.0,0.93,0.96
5403.0,0.93,1.0
6028.0,1.1,1.06
5058.0,0.8,0.85
5251.0,0.87,0.88
5634.0,0.92,0.99
5870.0,0.85,0.92
4881.0,2.97,0.66
5357.0,0.79,0.79
6170.0,1.32,1.21
5908.0,1.03,1.08
4570.0,0.68,0.71
