Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,SuperWASP-South,WASP-160 B,2018-01-01,1121,3359
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3929,2022-01-01,570,1706
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3235,2023-01-01,606,1814
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3819,2023-01-01,1635,4901
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022-01-01,466,1394
Transit,Qatar,Qatar-2,2011-01-01,1346,4034
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4127,2023-01-01,607,1817
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 3780,2020-01-01,905,2711
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2842,2023-01-01,1473,4415
Transit,Next-Generation Transit Survey (NGTS),NGTS-13,2021-01-01,1607,4817
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3261,2024-01-01,1724,5168
Transit,K2,HD 137496,2021-01-01,2132,6392
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-762 A,2024-01-01,557,1667
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-905,2020-01-01,1194,3578
Transit,Kepler,Kepler-44,2011-01-01,1546,4634
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2095,2023-01-01,299,893
Transit,Kepler,Kepler-102,2014-01-01,497,1487
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 73583,2022-01-01,716,2144
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-181,2023-01-01,897,2687
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-559,2021-01-01,1182,3542
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1937 A,2023-01-01,2099,6293
Radial Velocity,La Silla Observatory,HD 136352,2019-01-01,433,1295
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-776,2020-01-01,522,1562
Transit,HATNet,HAT-P-42,2012-01-01,1430,4286
Transit,SuperWASP,WASP-64,2012-01-01,1691,5069
Transit,Kepler,Kepler-103,2014-01-01,436,1304
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 15337,2019-01-01,644,1928
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2384,2024-01-01,892,2672
Transit,HATSouth,HATS-48 A,2020-01-01,957,2867
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2368,2024-01-01,1002,3002
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-132,2020-01-01,1397,4187
Transit,SuperWASP-North,WASP-114,2016-01-01,2045,6131
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1266,2020-01-01,356,1064
Transit,CoRoT,CoRoT-27,2014-01-01,1502,4502
Transit,WASP-South,WASP-175,2019-01-01,1573,4715
Transit,Kepler,Kepler-433,2015-01-01,1778,5330
Transit,HATSouth,HATS-29,2016-01-01,1214,3638
Transit,Kepler,Kepler-68,2013-01-01,1277,3827
Transit,Next-Generation Transit Survey (NGTS),NGTS-17,2021-01-01,1459,4373
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 393818343,2024-01-01,808,2420
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-178,2021-01-01,875,2621
Transit,K2,K2-25,2015-01-01,496,1484
Transit,K2,K2-199,2018-01-01,915,2741
Transit,HATSouth,HATS-40,2018-01-01,2103,6305
