Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
K2-32 e,0.04899,1066,Not Habitable
HATS-7 b,0.04012,1084,Not Habitable
HD 1397 b,0.1097,1228,Not Habitable
Kepler-10 b,0.01685,2188,Not Habitable
TOI-5678 b,0.249,513,Not Habitable
TOI-1728 b,0.0391,767,Not Habitable
TOI-1052 b,0.09103,1135,Not Habitable
HATS-51 b,0.04639,1553,Not Habitable
CoRoT-14 b,0.027,1952,Not Habitable
TOI-1710 b,0.166,603,Not Habitable
TOI-622 b,0.0708,1388,Not Habitable
TOI-4406 b,0.201,904,Not Habitable
TOI-1268 b,0.0711,919,Not Habitable
TOI-2641 b,0.0607,1387,Not Habitable
HATS-58 A b,0.05798,1721,Not Habitable
TOI-2134 b,0.078,666,Not Habitable
K2-38 b,0.0503,1310,Not Habitable
TOI-332 b,0.0159,1871,Not Habitable
TOI-2141 b,0.133,722,Not Habitable
HD 202772 A b,0.05208,2132,Not Habitable
KELT-16 b,0.02044,2453,Not Habitable
Kepler-138 d,0.1288,345,Not Habitable
WASP-132 b,0.0674,682,Not Habitable
TOI-1272 b,0.0417,975,Not Habitable
XO-7 b,0.04421,1743,Not Habitable
K2-415 b,0.027,412,Not Habitable
TOI-1670 c,0.249,684,Not Habitable
K2-261 b,0.1086,1036,Not Habitable
TOI-481 b,0.097,1370,Not Habitable
HATS-54 b,0.037,1429,Not Habitable
WASP-113 b,0.05885,1496,Not Habitable
TOI-1836 c,0.03089,2008,Not Habitable
NGTS-14 A b,0.0403,1143,Not Habitable
WASP-85 A b,0.039,1452,Not Habitable
HD 25463 c,0.0443,1586,Not Habitable
KELT-18 b,0.0455,2085,Not Habitable
TOI-1451 b,0.127,723,Not Habitable
WASP-185 b,0.0904,1160,Not Habitable
TOI-858 B b,0.04435,1529,Not Habitable
Kepler-91 b,0.0731,2040,Not Habitable
TOI-3884 b,0.0361,441,Not Habitable
WASP-105 b,0.075,900,Not Habitable
K2-216 b,0.028,1103,Not Habitable
TOI-329 b,0.0638,1213,Not Habitable
