Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,st_tefferr2,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index
LTT 3780 c,LTT 3780,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,12.252284,1.3E-5,-1.3E-5,0.0757,2.39,0.213,8.04,0.0253,Mass,0.024,359,10,-10,0,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,Unknown,3358.0,92.0,-92.0,0,0.38,0.38,0.06,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11.717801,21.9814,13.14,8.204001,2020-01-01,0.0,0.0
TOI-561 c,TOI-561,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,10.778831,3.4E-5,-3.6E-5,0.0884,2.91,0.26,5.39,0.01696,Mass,0.03,800,11,-11,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372.0,70.0,-70.0,0,0.84,0.81,-0.4,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,6.216103,85.799,10.252,8.394,2020-01-01,0.0,0.0
HATS-69 b,HATS-69,Transit,2018,HATSouth,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,2.2252577,1.9E-6,-1.9E-6,0.03211,10.593,0.945,183.38791,0.577,Mass,0.519,1296,7,-7,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Unknown,5137.0,16.0,-16.0,0,0.88,0.89,0.377,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m11.38s,289.2974275,-60.8917599,414.537,14.074,11.875,2018-01-01,0.0,4.0
HAT-P-58 b,HAT-P-58,Transit,2021,HATNet,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,4.0138379,2.4E-6,-2.4E-6,0.04994,14.93,1.332,118.23217,0.372,Mass,0.073,1622,18,-18,0,0,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Unknown,6078.0,48.0,-48.0,0,1.53,1.03,-0.224,4.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h35m23.16s,68.8465093,56.8682691,515.59,12.925,10.978,2021-01-01,0.0,5.0
TOI-3984 A b,TOI-3984 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...30C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,4.353326,5.0E-6,-5.0E-6,0.041,7.9,0.71,44.0,0.14,Mass,0.23,563,15,-15,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...30C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,M4+/-0.5,3476.0,88.0,-88.0,0,0.47,0.49,0.18,4.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m20.92s,226.3371468,36.7869747,108.883,15.694,11.052,2023-01-01,0.0,0.0
TOI-4463 A b,TOI-4463 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.8807198,2.8E-6,-2.7E-6,0.04036,13.26,1.183,252.35576,0.794,Mass,0.0,1395,25,-22,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5640.0,89.0,-82.0,0,1.06,1.06,0.25,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h37m25.95s,279.3581286,18.7299522,173.117,11.036,9.402,2023-01-01,0.0,0.0
TOI-406.01,TOI-406,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,13.175682,1.7E-5,-1.6E-5,0.0809,2.08,0.186,6.57,0.02067,Mass,0.056,368,14,-14,0,0,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,M3,3392.0,44.0,-44.0,0,0.41,0.41,-0.02,4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h17m03.03s,49.2626428,-42.2441492,31.0597,13.773,8.848,2024-01-01,0.0,0.0
K2-266 d,K2-266,Transit,2018,K2,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,14.697,3.4E-4,-3.5E-4,0.1035,2.93,0.261,8.9,0.028,Mass,0.047,538,6,-6,0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,Unknown,4285.0,49.0,-57.0,0,0.7,0.69,-0.12,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,0.9372782,77.5586,11.625,8.897,2018-01-01,0.0,2.0
TOI-1420 b,TOI-1420,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,6.9561063,1.7E-6,-1.7E-6,0.071,11.89,1.061,25.1,0.07897,Mass,0.17,957,17,-17,0,0,<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,Unknown,5510.0,110.0,-110.0,0,0.92,0.99,0.28,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h31m46.03s,322.9418092,66.3490054,201.918,11.655,10.119,2023-01-01,0.0,0.0
TOI-2567 b,TOI-2567,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,5.983944,1.3E-5,-1.3E-5,0.0672,10.929,0.975,63.88351,0.201,Mass,0.0,1352,18,-19,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,Unknown,5611.0,62.0,-65.0,0,1.69,1.13,0.241,4.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m51.76s,288.4656683,66.3479375,504.775,12.3,10.717,2022-01-01,0.0,0.0
HD 191939 d,HD 191939,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,38.353037,6.0E-5,-6.0E-5,0.2132,2.995,0.267,2.8,0.00881,Mass,0.031,540,11,-11,0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.0,100.0,-100.0,0,0.94,0.81,-0.15,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,66.8503014,53.6089,8.97,7.18,2020-01-01,0.0,0.0
HD 95338 b,HD 95338,Radial Velocity,2020,Las Campanas Observatory,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.1860D/abstract target=ref>D&iacute;az et al. 2020</a>,55.087,0.02,-0.02,0.262,3.89,0.347,42.44,0.13353,Mass,0.197,385,17,-17,0,0,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.1860D/abstract target=ref>D&iacute;az et al. 2020</a>,K0.5 V,5212.0,16.0,-11.0,0,0.87,0.83,0.04,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m25.52s,164.8563364,-56.6235564,36.9941,8.62,6.591,2020-01-01,1.0,32.0
TOI-2583 A b,TOI-2583 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.5207265,4.9E-6,-4.9E-6,0.0571,14.46,1.29,79.4571,0.25,Mass,0.0,1456,19,-16,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5936.0,65.0,-68.0,0,1.48,1.22,0.158,4.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h09m04.09s,272.2670293,45.3368996,566.189,12.586,11.245,2023-01-01,0.0,0.0
K2-3 c,K2-3,Transit,2015,K2,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4E-5,-4.2E-5,0.1357,1.582,0.141,2.68,0.00843,Mass,0.048,372,4,-4,0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0,0.55,0.55,-0.157,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-1.4551364,44.0727,12.168,8.561,2015-01-01,0.0,2.0
TOI-2207 b,TOI-2207,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,8.001968,2.4E-5,-2.5E-5,0.0854,11.153,0.995,203.41018,0.64,Mass,0.174,1259,16,-15,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,Unknown,6101.0,75.0,-73.0,0,1.56,1.3,0.181,4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h30m23.21s,307.5966925,-44.8876181,373.345,11.316,10.133,2022-01-01,0.0,0.0
TOI-561 d,TOI-561,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,25.7124,1.0E-4,-2.0E-4,0.158,2.82,0.252,13.2,0.04153,Mass,0.122,598,9,-9,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372.0,70.0,-70.0,0,0.84,0.81,-0.4,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,6.216103,85.799,10.252,8.394,2020-01-01,0.0,0.0
HD 136352 d,HD 136352,Radial Velocity,2019,La Silla Observatory,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,107.245,0.05,-0.05,0.425,2.562,0.229,8.82,0.02775,Mass,0.0,431,7,-7,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,Unknown,5664.0,61.0,-61.0,0,1.06,0.87,-0.24,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48.3188174,14.682,5.65,4.159,2019-01-01,1.0,12.0
