semi_major_axis,temperature
0.0554,922
0.097,1370
0.0787,1060
0.0414,1300
0.0679,1776
0.052,1077
0.0467,1102
0.02061,1842
0.60347,1102
0.139,615
0.01138,1062
0.073,1648
0.0436,1657
0.02732,2130
0.652,481
0.033548,698
0.0157,584
0.11312557679914084,494
0.0577,1458
0.05163,1277
0.148,620
0.09,1102
0.0464,1070
0.01677,1284
0.0453,825
0.0386,1102
0.04497,1634
0.0604,714
0.0988,1022
0.0474,1457
0.0234,1134
0.0539,895
0.02234,1860
0.048,1358
0.0855,1017
0.01326,2300
0.0824,741
0.03585,1605
0.02803,1385
0.109,727
0.11312557679914084,1102
0.03,1000
0.11312557679914084,1102
0.0629,743
0.088,447
0.1172,1102
0.1387,681
0.227,1102
0.0923,1230
0.13843,634
0.13,1102
0.0626,1679
0.11312557679914084,1102
0.0229,1441
0.11312557679914084,1102
0.01796,1774
0.0417,975
0.0207,1237
0.269,675
0.018,2141
0.091,1102
0.633,243
0.06614,1040
0.057,1242
0.11312557679914084,1898
