Insolation_Flux,temperature,mass,ra,dec
464.7,1294,23.51942,154.2710615,-25.2762982
80.45,835,112.19399,6.6135927,-56.3442798
486.9533952254641,641,8.3,30.9050061,21.2813274
486.9533952254641,650,336.0,286.3760037,-41.4376399
29.81,651,13.2,157.1440712,65.8541986
486.9533952254641,1102,317.83,353.0620655,-37.2558629
486.9533952254641,475,3.72,90.9842762,-60.6663348
486.9533952254641,1003,82.95363,80.5382418,-30.9708179
62.1,782,4.36,348.3372026,57.1696255
10.5,501,10.7,349.3843458,1.3001522
486.9533952254641,917,34.4,234.4317651,48.955206
237.0,1091,71.51139,89.1300265,-5.0120298
486.9533952254641,1102,24.1,44.2620144,-56.1918694
486.9533952254641,1102,1868.8404,294.3565559,38.9473424
700.0,1431,6.8,291.3822988,38.1274595
486.9533952254641,588,5.4,251.1158702,70.4299917
486.9533952254641,1102,1229.99594,42.5582023,25.3335334
59.4,773,1.86,120.5936065,3.3371629
27.7,638,15.9,207.3497402,-12.2849182
486.9533952254641,1102,1175.971,242.5613635,-19.3193831
486.9533952254641,633,9.9,83.2692502,-26.7238698
4.96,415,12.6,148.1851516,6.216103
486.9533952254641,2037,388.38826,296.688442,-63.5656488
87.73,853,117.27927,287.4844021,-49.6649424
236.0,1102,3.85,288.9612535,42.2650472
486.9533952254641,1102,473.56433,184.9787579,-25.8278531
16.1,557,3.09,99.2915429,17.5662696
486.9533952254641,676,246.00042,234.8578846,-20.1988975
486.9533952254641,1102,209.76,296.2005506,49.1400304
486.9533952254641,1102,17.3,298.0794448,44.746248
486.9533952254641,1102,7.81,294.2189131,49.4792536
486.9533952254641,1102,4.13,296.1125759,39.9787451
486.9533952254641,690,3.01,7.3020115,-30.4541159
486.9533952254641,493,4.23,4.7730178,-9.9661505
9.6,441,419.5335,302.7984228,-61.1354659
486.9533952254641,1586,2011.8639,99.2630608,1.7675497
486.9533952254641,1102,6.31,348.9490311,-10.8497391
315.0,1173,7.7,297.028162,48.2086019
0.3,206,158.915,282.1856949,44.4344617
486.9533952254641,1102,2.02,288.3953074,39.8725067
2749.0,2015,7.5,287.3619673,38.7141384
