radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
5.05,26.78,767,Transit,0.0,"[5.05,26.78,767.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.854,20.8,1199,Transit,0.0,"[2.854,20.8,1199.0]","[9.874564703525815,0.10388825253177959,0.01483990121647977,0.006707142725925661]","[0.9874564703525814,0.010388825253177959,0.001483990121647977,0.0006707142725925661]",0.0
16.141,263.7989,1102,Transit,0.0,"[16.141,263.7989,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
1.61,16.17,410,Radial Velocity,1.0,"[1.61,16.17,410.0]","[6.656009651760361,3.316638911797292,0.0035419126328217238,0.023809523809523808]","[0.6656009651760363,0.3316638911797293,0.00035419126328217244,0.002380952380952381]",0.0
1.773,9.7,1187,Transit,0.0,"[1.773,9.7,1187.0]","[9.73598227134747,0.2033727203832353,0.006969253813247919,0.05367575445604674]","[0.9735982271347471,0.020337272038323532,0.0006969253813247919,0.005367575445604674]",0.0
2.04,7.93,1102,Transit,0.0,"[2.04,7.93,1102.0]","[8.750149921878757,0.6927469824847702,0.0034273411804261944,0.5536757544560468]","[0.8750149921878757,0.06927469824847701,0.00034273411804261944,0.05536757544560468]",0.0
2.611,15.2,723,Transit,0.0,"[2.611,15.2,723.0]","[9.726309974539491,0.25856005346750793,0.009516921170795431,0.0056130508222057484]","[0.972630997453949,0.02585600534675079,0.000951692117079543,0.0005613050822205748]",0.0
6.389,47.6745,938,Transit,0.0,"[6.389,47.6745,938.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.466,11.41004,798,Transit,0.0,"[2.466,11.41004,798.0]","[9.770626425300351,0.2109613269954871,0.011705104978235256,0.006707142725925661]","[0.9770626425300352,0.021096132699548707,0.0011705104978235255,0.0006707142725925661]",0.0
1.82,11.7,1102,Transit,0.0,"[1.82,11.7,1102.0]","[9.73598227134747,0.2033727203832353,0.006969253813247919,0.05367575445604674]","[0.9735982271347471,0.020337272038323532,0.0006969253813247919,0.005367575445604674]",0.0
11.769,184.3414,1102,Transit,0.0,"[11.769,184.3414,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
