semi_major_axis,temperature,Default_Flag
0.05712,789,1
0.0348,1871,1
0.04211,1942,1
0.0427,1120,1
0.11312557679914084,1102,1
0.0261,1200,1
0.0607,1460,1
0.11312557679914084,1102,1
0.05453,1729,1
0.1012,833,1
0.11312557679914084,1102,1
0.02946,1102,1
0.11312557679914084,1102,1
0.03781,1370,1
0.11312557679914084,1102,1
0.075,900,1
0.04632,1111,1
0.0248,1880,1
0.1011,800,1
0.11312557679914084,1102,1
0.037,1160,1
0.0673,1557,1
0.11312557679914084,1102,1
0.0515,1230,1
0.0347,2000,1
0.04823,1624,1
0.11312557679914084,1102,1
0.05885,1496,1
0.0519,1716,1
0.11312557679914084,1102,1
0.01652,2113,1
0.02335,1715,1
0.0323,1320,1
0.02818,1610,1
0.11312557679914084,1102,1
0.048,1125,1
0.0243,1102,1
0.0451,1479,1
0.0871,910,1
0.0514,1880,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.04435,1529,1
0.11312557679914084,1102,1
0.062,910,1
0.0142,1102,1
0.11312557679914084,1102,1
0.0282,2198,1
0.038,1102,1
0.0316,1260,1
0.0676,1254,1
0.0469,1540,1
0.0903,686,1
0.0538,1850,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0504,1642,1
0.0375,1710,1
0.041657,1317,1
0.03418,555,1
0.04101,1053,1
0.0494,1590,1
0.048,1700,1
0.11312557679914084,1102,1
0.0694,1740,1
0.0458,934,1
0.11312557679914084,1102,1
0.04403,1571,1
0.06,1379,1
0.11312557679914084,1102,1
0.0618,1056,1
0.0337,1422,1
0.0561,1021,1
0.02636,941,1
0.11312557679914084,1102,1
0.0661,1742,1
0.01,996,1
0.025,635,1
0.03769,1338,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.039,1452,1
0.06,1102,1
0.11312557679914084,1102,1
0.04421,1743,1
0.0576,482,1
0.02177,1253,1
0.0437,553,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0562,1840,1
0.0681,1604,1
0.0904,1160,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.11312557679914084,1102,1
0.0453,1285,1
0.0627,1480,1
0.092,1397,1
0.11312557679914084,1102,1
0.0617,1487,1
0.01985,2508,1
0.05427,1186,1
0.06,1561,1
0.02648,1689,1
0.04659,1102,1
0.0628,1100,1
0.02282,1102,1
0.0376,1102,1
0.0295,674,1
0.02459,1480,1
0.02851,2043,1
0.0363,1600,1
0.06,1038,1
0.04853,1387,1
0.0535,1721,1
0.02292,745,1
0.01833,1329,1
0.0266,1638,1
0.059,1120,1
0.047,1500,1
0.03453,1337,1
0.193,469,1
0.0226,1102,1
0.0293,1395,1
0.0888,995,1
0.0365,2329,1
0.122,641,1
0.03144,1311,1
0.11312557679914084,1102,1
0.0641,1270,1
0.0674,682,1
0.0549,1404,1
0.08215,1102,1
0.0408,1620,1
0.03963,1153,1
0.1001,420,1
0.04666,1192,1
0.0449,1400,1
0.0653,520,1
0.02024,2429,1
0.02677,1733,1
0.1038,1252,1
0.11312557679914084,1102,1
0.048,1540,1
0.02335,1636,1
0.02918,1516,1
0.0452,1119,1
0.0517,1590,1
0.11312557679914084,1102,1
0.0344,825,1
0.11312557679914084,1102,1
